d_bar,winner,win,d_call,d_inner,exp
in person,defendant,1,2018,,0
jason pow sc,defendant,1,1986,2005,32
leo wong,defendant,1,2012,,6
in person,plaintiff,0,2018,,0
in person,plaintiff,0,2018,,0
felix ng,defendant,1,2009,,9
raymond lau,plaintiff,0,1993,,25
ann t y lui,defendant,1,2007,,11
in person,plaintiff,0,2018,,0
in person,defendant,1,2018,,0
tony chow,defendant,1,2011,,7
edward chan,defendant,1,1975,,43
jenkin suen,defendant,1,2004,,14
jenkin suen,defendant,1,2004,,14
julia lau,plaintiff,0,1995,,23
lorinda lau,plaintiff,0,1997,,21
k. c. chan,defendant,1,1970,,48
kwok kam kwan,defendant,1,2001,,17
kwok kam kwan,defendant,1,2001,,17
in person,plaintiff,0,2018,,0
anson wong sc,defendant,1,1999,2014,19
dick lee,defendant,1,2006,,12
bonnie y k cheng,plaintiff,0,2007,,11
cherry xu,defendant,1,2016,,2
alison choy,plaintiff,0,2014,,4
edward tang,defendant,1,2011,,7
jat sew tong sc,defendant,1,1989,2002,29
jat sew tong sc,defendant,1,1989,2002,29
jat sew tong sc,defendant,1,1989,2002,29
christopher chain,defendant,1,2008,,10
ambrose  ho sc,defendant,1,1984,2000,34
justin lam,defendant,1,2013,,5
mark strachan sc,defendant,1,2002,2013,16
wong chi kwong,plaintiff,0,1975,,43
anson wong sc,plaintiff,0,1999,2014,19
philips b f wong,defendant,1,2001,,17
jason yu,plaintiff,0,2012,,6
david rex boyton,defendant,1,1997,,21
in person,plaintiff,0,2018,,0
patrick chong,defendant,1,1997,,21
felix ng,defendant,1,2009,,9
billy ma,defendant,1,2009,,9
david chen,defendant,1,2011,,7
byron chiu,plaintiff,0,2017,,1
patrick lim,defendant,1,1982,,36
abraham chan,defendant,1,2000,,18
martin ho,defendant,1,2014,,4
in person,defendant,1,2018,,0
bonnie cheng,plaintiff,0,2011,,7
lawrence lok,plaintiff,0,1979,,39
lawrence lok,plaintiff,0,1979,,39
lawrence lok,plaintiff,0,1979,,39
lawrence lok,plaintiff,0,1979,,39
lawrence lok,plaintiff,0,1979,,39
in person,plaintiff,0,2018,,0
david boyton,plaintiff,0,1997,,21
lincoln cheung,defendant,1,2010,,8
jonathan kwan,plaintiff,0,2003,,15
henry lo,plaintiff,0,1988,,30
wing kay po,defendant,1,1998,,20
wing kay po,defendant,1,1998,,20
wong lok yan hedy,plaintiff,0,2017,,1
jason lee,defendant,1,2013,,5
jonathan chang,defendant,1,2001,,17
charles manzoni sc,defendant,1,2000,2012,18
victor dawes sc,defendant,1,1999,2015,19
abigail wong,defendant,1,2004,,14
winnie chan,plaintiff,0,1992,,26
alexander wong,defendant,1,1981,,37
billy n p ma,defendant,1,2009,,9
kenneth y f wong,defendant,1,1985,,33
frederick chan,plaintiff,0,1993,,25
chua guan hock sc,plaintiff,0,1987,2003,31
chua guan hock sc,plaintiff,0,1987,2003,31
jeremy bartlett sc,defendant,1,1999,2015,19
jonathan chang,defendant,1,2001,,17
abraham chan,defendant,1,2000,,18
linda chan,defendant,1,1996,,22
johnny mok,plaintiff,0,1986,,32
mark strachan sc,defendant,1,2002,2013,16
mark strachan sc,defendant,1,2002,2013,16
anthony chan,defendant,1,2005,,13
andrew lau,defendant,1,2017,,1
andrew lau,defendant,1,2017,,1
astina au,plaintiff,0,2016,,2
in person,defendant,1,2018,,0
john hui,defendant,1,2008,,10
nicholas oh,defendant,1,2014,,4
m. c. law,defendant,1,1966,,52
in person,defendant,1,2018,,0
charles hollander qc,defendant,1,2015,,3
thomas lai,defendant,1,1978,,40
bernard man sc,plaintiff,0,2000,2015,18
lee tung ming,defendant,1,1994,,24
philips b f wong,plaintiff,0,2001,,17
"paul lam, sc",defendant,1,1992,2013,26
frances lok,defendant,1,2007,,11
frances lok,defendant,1,2007,,11
gary leung,plaintiff,0,2011,,7
wayne hariman,defendant,1,2009,,9
david boyton,defendant,1,1997,,21
in person,defendant,1,2018,,0
hugh kam,defendant,1,2011,,7
jeremy chan,defendant,1,2000,,18
philip li,defendant,1,2014,,4
yvonne fong,defendant,1,2005,,13
yvonne fong,defendant,1,2005,,13
yvonne fong,defendant,1,2005,,13
sebastian hughes,defendant,1,2010,,8
jin pao sc,plaintiff,0,2002,2018,16
in person,defendant,1,2018,,0
edward alder,defendant,1,2006,,12
adrian wong,defendant,1,2011,,7
julian lam,defendant,1,2011,,7
val chow,plaintiff,0,2013,,5
in person,defendant,1,2018,,0
sunny chan,plaintiff,0,2013,,5
kenny c p lin,defendant,1,1989,,29
joseph wong,plaintiff,0,2015,,3
sunny chan,plaintiff,0,2013,,5
in person,defendant,1,2018,,0
in person,plaintiff,0,2018,,0
